CpG,gene,region,feature
cg00978698,ZNF394,promoter,ZNF394__promoter
cg00978783,C14orf68,promoter,C14orf68__promoter
cg00978822,MIR449B,promoter,MIR449B__promoter
cg00978845,MLL5,body,MLL5__body
cg00978855,KIF13B,body,KIF13B__body
cg00978910,C1orf9,promoter,C1orf9__promoter
cg00979026,LAMP1,body,LAMP1__body
cg00979223,CABP2,body,CABP2__body
cg00979307,DHX30,promoter,DHX30__promoter
cg00979347,KDM4A,promoter,KDM4A__promoter
cg00979348,HPSE,promoter,HPSE__promoter
cg00979369,ACTN1,body,ACTN1__body
cg00979520,RWDD1,promoter,RWDD1__promoter
cg00979527,AJAP1,body,AJAP1__body
cg00979628,MUM1,promoter,MUM1__promoter
cg00979634,PLEKHM2,body,PLEKHM2__body
cg00979695,SVOPL,body,SVOPL__body
cg00979704,TNXB,promoter,TNXB__promoter
cg00979931,ATG16L2,body,ATG16L2__body
cg00979939,TM6SF1,body,TM6SF1__body
cg00980058,PCNXL2,body,PCNXL2__body
cg00980244,OSTM1,promoter,OSTM1__promoter
cg00980293,KIF13A,body,KIF13A__body
cg00980331,CCDC104,promoter,CCDC104__promoter
cg00980410,SYNRG,promoter,SYNRG__promoter
cg00980519,SIRPB2,promoter,SIRPB2__promoter
cg00980538,LOC550112,promoter,LOC550112__promoter
cg00980625,GRP,body,GRP__body
cg00980772,LOC84931,promoter,LOC84931__promoter
cg00980784,ABI3,promoter,ABI3__promoter
cg00980904,RASSF1,promoter,RASSF1__promoter
cg00980978,WFDC2,body,WFDC2__body
cg00981117,CCDC96,promoter,CCDC96__promoter
cg00981146,KCNMA1,body,KCNMA1__body
cg00981267,LOC730668,promoter,LOC730668__promoter
cg00981357,ZC3H18,promoter,ZC3H18__promoter
cg00981443,LCE4A,promoter,LCE4A__promoter
cg00981472,EHD3,promoter,EHD3__promoter
cg00981594,ARL6IP1,promoter,ARL6IP1__promoter
cg00981651,PCIF1,body,PCIF1__body
cg00981661,MKLN1,body,MKLN1__body
cg00981797,UFD1L,promoter,UFD1L__promoter
cg00981837,RXFP3,promoter,RXFP3__promoter
cg00981928,DKFZp434L192,promoter,DKFZp434L192__promoter
cg00981994,WNT6,body,WNT6__body
cg00982136,CLK1,body,CLK1__body
cg00982167,HAX1,promoter,HAX1__promoter
cg00982271,ECE1,promoter,ECE1__promoter
cg00982312,A2BP1,body,A2BP1__body
cg00982357,NXT1,promoter,NXT1__promoter
cg00982433,APLP2,promoter,APLP2__promoter
cg00982519,SFTA1P,promoter,SFTA1P__promoter
cg00982535,FAM46C,body,FAM46C__body
cg00982548,BOLL,promoter,BOLL__promoter
cg00982641,C5orf58,promoter,C5orf58__promoter
cg00982680,PREPL,promoter,PREPL__promoter
cg00982799,PTPRE,body,PTPRE__body
cg00982830,C12orf26,promoter,C12orf26__promoter
cg00982919,LHX2,body,LHX2__body
cg00982952,GLG1,body,GLG1__body
cg00982974,CUX1,body,CUX1__body
cg00982984,SHF,promoter,SHF__promoter
cg00983485,MTMR10,promoter,MTMR10__promoter
cg00983520,CPT1B,promoter,CPT1B__promoter
cg00983608,ZNF783,body,ZNF783__body
cg00983637,AIM1L,body,AIM1L__body
cg00983732,ANXA11,body,ANXA11__body
cg00983803,SKINTL,body,SKINTL__body
cg00983899,CABP2,promoter,CABP2__promoter
cg00983904,IFFO1,promoter,IFFO1__promoter
cg00984060,CACNA1I,body,CACNA1I__body
cg00984146,EGFLAM,promoter,EGFLAM__promoter
cg00984214,TMEM82,body,TMEM82__body
cg00984370,LMF2,promoter,LMF2__promoter
cg00984433,RNF14,promoter,RNF14__promoter
cg00984474,C5orf49,body,C5orf49__body
cg00984602,SRF,promoter,SRF__promoter
cg00984694,NDRG4,promoter,NDRG4__promoter
cg00984696,KALRN,body,KALRN__body
cg00984787,CENPK,promoter,CENPK__promoter
cg00985086,MCTP1,promoter,MCTP1__promoter
cg00985104,TMEM111,promoter,TMEM111__promoter
cg00985117,PSMG4,body,PSMG4__body
cg00985205,RUFY3,promoter,RUFY3__promoter
cg00985388,VWA5B2,body,VWA5B2__body
cg00985729,IER3,promoter,IER3__promoter
cg00985958,B3GAT2,body,B3GAT2__body
cg00986050,ACTR5,promoter,ACTR5__promoter
cg00986053,PPP2R5C,body,PPP2R5C__body
cg00986119,SERINC5,body,SERINC5__body
cg00986130,COL23A1,body,COL23A1__body
cg00986133,KCNMA1,body,KCNMA1__body
cg00986191,GRM6,body,GRM6__body
cg00986320,CYFIP2,promoter,CYFIP2__promoter
cg00986762,PSMB2,promoter,PSMB2__promoter
cg00986800,FNDC3B,promoter,FNDC3B__promoter
cg00987015,CHRM1,promoter,CHRM1__promoter
cg00987080,ZBTB8B,promoter,ZBTB8B__promoter
cg00987136,PSMB7,body,PSMB7__body
cg00987350,C1orf21,body,C1orf21__body
cg00987379,ZNF395,promoter,ZNF395__promoter
cg00987461,GLT8D2,promoter,GLT8D2__promoter
cg00987513,HFE2,promoter,HFE2__promoter
cg00987630,EIF3B,promoter,EIF3B__promoter
cg00987699,WIPI2,promoter,WIPI2__promoter
cg00988037,SSBP3,body,SSBP3__body
cg00988050,CLYBL,body,CLYBL__body
cg00988175,OR10V1,promoter,OR10V1__promoter
cg00988179,HMGCLL1,body,HMGCLL1__body
cg00988256,TSPAN16,promoter,TSPAN16__promoter
cg00988350,GALE,promoter,GALE__promoter
cg00988491,BASP1,body,BASP1__body
cg00988577,HLA-DOA,promoter,HLA-DOA__promoter
cg00988641,TAPBP,body,TAPBP__body
cg00988675,FAM169B,promoter,FAM169B__promoter
cg00988841,INPP5A,body,INPP5A__body
cg00989142,COMMD7,promoter,COMMD7__promoter
cg00989217,C21orf45,promoter,C21orf45__promoter
cg00989226,SFRS11,promoter,SFRS11__promoter
cg00989249,N4BP3,body,N4BP3__body
cg00989315,CDCA7L,promoter,CDCA7L__promoter
cg00989505,MIR299,promoter,MIR299__promoter
cg00989538,MBP,promoter,MBP__promoter
cg00989575,MYOZ1,promoter,MYOZ1__promoter
cg00989853,IRF6,promoter,IRF6__promoter
cg00990020,ATP11A,body,ATP11A__body
cg00990022,NT5C1A,promoter,NT5C1A__promoter
cg00990221,MRPS18B,promoter,MRPS18B__promoter
cg00990358,ZNF684,promoter,ZNF684__promoter
cg00990377,EIF2C2,body,EIF2C2__body
cg00990591,C22orf30,promoter,C22orf30__promoter
cg00990613,TNFRSF10A,promoter,TNFRSF10A__promoter
cg00990635,GMIP,body,GMIP__body
cg00990690,ATP8A2,body,ATP8A2__body
cg00990769,MATN2,body,MATN2__body
cg00990884,EXOC6,promoter,EXOC6__promoter
cg00990977,RRBP1,promoter,RRBP1__promoter
cg00991297,ITGB1,promoter,ITGB1__promoter
cg00991400,GRM8,promoter,GRM8__promoter
cg00991475,TOPBP1,promoter,TOPBP1__promoter
cg00991576,MYPOP,promoter,MYPOP__promoter
cg00991744,PDZRN4,promoter,PDZRN4__promoter
cg00991755,KIAA0427,promoter,KIAA0427__promoter
cg00991794,STL,promoter,STL__promoter
cg00991994,C3orf26,body,C3orf26__body
cg00992039,PPP1R13L,promoter,PPP1R13L__promoter
cg00992090,PRKAR1B,body,PRKAR1B__body
cg00992103,LMNB2,body,LMNB2__body
cg00992117,ABTB1,promoter,ABTB1__promoter
cg00992153,C8orf58,promoter,C8orf58__promoter
cg00992239,MME,promoter,MME__promoter
cg00992317,C1QL3,body,C1QL3__body
cg00992385,HCK,promoter,HCK__promoter
cg00992659,RCC2,promoter,RCC2__promoter
cg00992913,C1orf66,promoter,C1orf66__promoter
cg00993057,CKS1B,promoter,CKS1B__promoter
cg00993118,ISL1,body,ISL1__body
cg00993191,UBE4B,promoter,UBE4B__promoter
cg00993205,DCAF4,body,DCAF4__body
cg00993543,CCDC148,promoter,CCDC148__promoter
cg00993710,ATG9B,promoter,ATG9B__promoter
cg00993799,LOC100216545,body,LOC100216545__body
cg00993824,IL12RB2,promoter,IL12RB2__promoter
cg00993830,UBE2H,body,UBE2H__body
cg00993881,DAAM1,promoter,DAAM1__promoter
cg00994250,PLEKHG1,body,PLEKHG1__body
cg00994251,MEGF6,body,MEGF6__body
cg00994307,ZNF738,promoter,ZNF738__promoter
cg00994323,PPP1R16A,promoter,PPP1R16A__promoter
cg00994394,CLCA1,promoter,CLCA1__promoter
cg00994411,PCMTD1,promoter,PCMTD1__promoter
cg00994541,DYNC1H1,body,DYNC1H1__body
cg00994561,BAT4,promoter,BAT4__promoter
cg00994583,ARHGAP23,promoter,ARHGAP23__promoter
cg00994587,FLYWCH1,body,FLYWCH1__body
cg00994601,C6orf47,promoter,C6orf47__promoter
cg00994643,TNFRSF10A,promoter,TNFRSF10A__promoter
cg00994649,C8orf59,promoter,C8orf59__promoter
cg00994693,CA8,promoter,CA8__promoter
cg00994717,SEMA4G,promoter,SEMA4G__promoter
cg00994804,RUNX1,promoter,RUNX1__promoter
cg00994876,ING5,body,ING5__body
cg00994896,GJD3,promoter,GJD3__promoter
cg00994924,GINS1,body,GINS1__body
cg00994936,DAZAP1,body,DAZAP1__body
cg00995065,SLCO1B1,promoter,SLCO1B1__promoter
cg00995209,SCRIB,body,SCRIB__body
cg00995324,HIPK2,body,HIPK2__body
cg00995327,CHST2,promoter,CHST2__promoter
cg00995457,CCDC85C,body,CCDC85C__body
cg00995520,KCNA3,promoter,KCNA3__promoter
cg00995582,HEATR7A,body,HEATR7A__body
cg00995584,VCL,promoter,VCL__promoter
cg00995670,NCRNA00171,body,NCRNA00171__body
cg00995798,TTC27,promoter,TTC27__promoter
cg00995854,CD5L,body,CD5L__body
cg00995911,ZNF180,promoter,ZNF180__promoter
cg00995986,MEIS1,body,MEIS1__body
cg00995988,TOR2A,body,TOR2A__body
cg00996051,HSPC159,promoter,HSPC159__promoter
cg00996053,SKINTL,body,SKINTL__body
cg00996258,TRPV3,body,TRPV3__body
cg00996262,ATP1B2,promoter,ATP1B2__promoter
cg00996315,EFTUD2,promoter,EFTUD2__promoter
cg00996323,KLRG2,body,KLRG2__body
cg00996588,BAI1,body,BAI1__body
cg00996690,ACCN2,promoter,ACCN2__promoter
cg00996847,FGGY,body,FGGY__body
cg00996986,SERHL,promoter,SERHL__promoter
cg00997054,TRIM71,body,TRIM71__body
cg00997079,CTNNA2,body,CTNNA2__body
cg00997172,CHMP4B,promoter,CHMP4B__promoter
cg00997251,ARHGAP26,body,ARHGAP26__body
cg00997310,DFFB,body,DFFB__body
cg00997327,MTOR,body,MTOR__body
cg00997338,TRIM71,body,TRIM71__body
cg00997378,SLC6A3,promoter,SLC6A3__promoter
cg00997400,CDH4,body,CDH4__body
cg00997411,NUAK2,promoter,NUAK2__promoter
cg00997424,PI4K2A,promoter,PI4K2A__promoter
cg00997551,RSPO2,promoter,RSPO2__promoter
cg00997604,POTEA,promoter,POTEA__promoter
cg00997611,LOC91149,promoter,LOC91149__promoter
cg00997655,ALDH7A1,body,ALDH7A1__body
cg00997699,PLXNA2,body,PLXNA2__body
cg00997720,PAK4,promoter,PAK4__promoter
cg00997798,FMN2,body,FMN2__body
cg00997853,ITPR2,body,ITPR2__body
cg00997969,RBPMS,body,RBPMS__body
cg00998135,KCTD15,body,KCTD15__body
cg00998146,IFI30,promoter,IFI30__promoter
cg00998168,CDK11B,promoter,CDK11B__promoter
cg00998410,NAGPA,promoter,NAGPA__promoter
cg00998427,SYT7,body,SYT7__body
cg00998438,ILDR2,body,ILDR2__body
cg00998591,SEC16A,body,SEC16A__body
cg00998774,AGAP1,body,AGAP1__body
cg00998782,LCE6A,promoter,LCE6A__promoter
cg00999152,CYP26B1,body,CYP26B1__body
cg00999243,PTBP1,body,PTBP1__body
cg00999267,RBM19,body,RBM19__body
cg00999410,OR6C1,promoter,OR6C1__promoter
cg00999623,SLC25A24,promoter,SLC25A24__promoter
cg00999644,ERI2,promoter,ERI2__promoter
cg00999904,ALLC,promoter,ALLC__promoter
cg00999950,C4orf37,promoter,C4orf37__promoter
cg00999988,GALNT3,promoter,GALNT3__promoter
cg01000188,QRFP,promoter,QRFP__promoter
cg01000365,WDYHV1,promoter,WDYHV1__promoter
cg01000408,LTBP4,promoter,LTBP4__promoter
cg01000422,PHKB,body,PHKB__body
cg01000469,SOS1,promoter,SOS1__promoter
cg01000489,PLEKHG3,promoter,PLEKHG3__promoter
cg01000615,ANKRD35,body,ANKRD35__body
cg01000637,TTC31,body,TTC31__body
cg01000656,SPATA1,promoter,SPATA1__promoter
cg01000812,LOC100288797,promoter,LOC100288797__promoter
cg01000996,RPTOR,body,RPTOR__body
cg01001049,USP7,body,USP7__body
cg01001098,TAL1,promoter,TAL1__promoter
cg01001101,C7orf16,promoter,C7orf16__promoter
cg01001468,MAF,promoter,MAF__promoter
cg01001472,MBNL2,body,MBNL2__body
cg01001744,XYLT1,body,XYLT1__body
cg01002030,RAVER2,body,RAVER2__body
cg01002120,C22orf24,promoter,C22orf24__promoter
cg01002125,DNAJC16,promoter,DNAJC16__promoter
cg01002233,RFWD2,body,RFWD2__body
cg01002313,FLJ23867,body,FLJ23867__body
cg01002317,LEKR1,body,LEKR1__body
cg01002341,TGFBR3,promoter,TGFBR3__promoter
cg01002560,ISPD,promoter,ISPD__promoter
cg01002622,CTPS,promoter,CTPS__promoter
cg01002634,LSM14B,promoter,LSM14B__promoter
cg01002891,SH2D4B,body,SH2D4B__body
cg01002995,FOXJ2,promoter,FOXJ2__promoter
cg01003245,POGZ,promoter,POGZ__promoter
cg01003303,CCDC39,body,CCDC39__body
cg01003382,BCL11A,body,BCL11A__body
cg01003448,FBXL16,body,FBXL16__body
cg01003595,MRPL35,body,MRPL35__body
cg01003599,VASH2,promoter,VASH2__promoter
cg01003724,RABIF,body,RABIF__body
cg01003803,FGF20,promoter,FGF20__promoter
cg01003815,INSL6,body,INSL6__body
cg01003959,PFN4,promoter,PFN4__promoter
cg01004017,GLI2,body,GLI2__body
cg01004144,SMEK1,promoter,SMEK1__promoter
cg01004278,ANKRD43,promoter,ANKRD43__promoter
cg01004363,AGAP11,promoter,AGAP11__promoter
cg01004382,STAT4,promoter,STAT4__promoter
cg01004457,OR10H3,promoter,OR10H3__promoter
cg01004762,KIAA1045,promoter,KIAA1045__promoter
cg01005180,PRKAG2,body,PRKAG2__body
cg01005303,KIAA2013,body,KIAA2013__body
cg01005308,TMEM189,body,TMEM189__body
cg01005322,VSX1,body,VSX1__body
cg01005350,ZNF48,body,ZNF48__body
cg01005506,ADO,promoter,ADO__promoter
cg01005517,MGC23284,body,MGC23284__body
cg01005536,RAB11FIP3,body,RAB11FIP3__body
cg01005605,BCL11A,body,BCL11A__body
cg01005968,RTN2,promoter,RTN2__promoter
cg01006034,CCNL2,body,CCNL2__body
cg01006332,HIST3H3,promoter,HIST3H3__promoter
cg01006587,ZNF574,promoter,ZNF574__promoter
cg01006802,TMPRSS8,promoter,TMPRSS8__promoter
cg01007201,CLEC4A,promoter,CLEC4A__promoter
cg01007305,GRID1,body,GRID1__body
cg01007345,TEC,promoter,TEC__promoter
cg01007665,AMZ2,promoter,AMZ2__promoter
cg01007737,LOC100128788,body,LOC100128788__body
cg01007768,CKLF,promoter,CKLF__promoter
cg01007781,SND1,body,SND1__body
cg01007828,CDH8,promoter,CDH8__promoter
cg01007894,CELP,promoter,CELP__promoter
cg01008004,C12orf47,body,C12orf47__body
cg01008117,CCND2,body,CCND2__body
cg01008154,PIK3R3,body,PIK3R3__body
cg01008164,OR52R1,promoter,OR52R1__promoter
cg01008256,SLC12A9,promoter,SLC12A9__promoter
cg01008263,SF3B3,body,SF3B3__body
cg01008267,TBC1D22A,body,TBC1D22A__body
cg01008365,GGH,body,GGH__body
cg01008405,CXXC5,promoter,CXXC5__promoter
cg01008666,NACC1,body,NACC1__body
cg01008726,NIPBL,body,NIPBL__body
cg01008854,HVCN1,promoter,HVCN1__promoter
cg01008894,RGS12,body,RGS12__body
cg01008941,KLHL5,promoter,KLHL5__promoter
cg01009145,COL13A1,promoter,COL13A1__promoter
cg01009290,TRIM72,body,TRIM72__body
cg01009358,ZFAND3,promoter,ZFAND3__promoter
cg01009697,NTRK2,promoter,NTRK2__promoter
cg01010012,MTUS2,body,MTUS2__body
cg01010188,STC2,body,STC2__body
cg01010211,CECR2,promoter,CECR2__promoter
cg01010781,TMED4,promoter,TMED4__promoter
cg01010839,NET1,promoter,NET1__promoter
cg01010868,PRKACA,promoter,PRKACA__promoter
cg01010931,CREBBP,body,CREBBP__body
cg01010984,CEP72,body,CEP72__body
cg01011367,ACADSB,body,ACADSB__body
cg01011425,ZBTB25,promoter,ZBTB25__promoter
cg01011432,CABLES2,promoter,CABLES2__promoter
cg01011614,ZNF335,promoter,ZNF335__promoter
cg01011619,C1orf103,promoter,C1orf103__promoter
cg01011748,GALNT13,promoter,GALNT13__promoter
cg01011757,TIGD1,promoter,TIGD1__promoter
cg01011769,KIAA0182,promoter,KIAA0182__promoter
cg01011910,ZSWIM4,promoter,ZSWIM4__promoter
cg01011918,SPRR2D,promoter,SPRR2D__promoter
cg01012026,FAM20C,body,FAM20C__body
cg01012242,SLC37A3,body,SLC37A3__body
cg01012244,SND1,body,SND1__body
cg01012308,TRAP1,promoter,TRAP1__promoter
cg01012330,C3orf59,body,C3orf59__body
cg01012394,EYA3,promoter,EYA3__promoter
cg01012439,TRAPPC9,body,TRAPPC9__body
cg01012445,LRBA,promoter,LRBA__promoter
cg01012879,ADSS,body,ADSS__body
cg01013023,GLI3,body,GLI3__body
cg01013031,RPS10P7,promoter,RPS10P7__promoter
cg01013054,EVPL,body,EVPL__body
cg01013312,ABCE1,promoter,ABCE1__promoter
cg01013324,EFNB3,promoter,EFNB3__promoter
cg01013336,SRBD1,body,SRBD1__body
cg01013365,MARCH10,body,MARCH10__body
cg01013590,SCTR,body,SCTR__body
cg01013600,DBP,promoter,DBP__promoter
cg01013630,SMUG1,promoter,SMUG1__promoter
cg01013732,SLC35C2,promoter,SLC35C2__promoter
cg01013754,WDR26,promoter,WDR26__promoter
cg01013868,SNORD114-23,promoter,SNORD114-23__promoter
cg01013890,MTSS1,body,MTSS1__body
cg01014113,EEF1D,body,EEF1D__body
cg01014179,FBXO36,promoter,FBXO36__promoter
cg01014190,NRXN1,body,NRXN1__body
cg01014287,FUBP1,promoter,FUBP1__promoter
cg01014438,CACNA1C,body,CACNA1C__body
cg01014615,HOXD3,promoter,HOXD3__promoter
cg01015003,PRSS36,body,PRSS36__body
cg01015062,MRPL39,body,MRPL39__body
cg01015090,MADCAM1,body,MADCAM1__body
cg01015123,OTOL1,promoter,OTOL1__promoter
cg01015199,GCLC,promoter,GCLC__promoter
cg01015245,MCF2L,body,MCF2L__body
cg01015354,FAM27L,promoter,FAM27L__promoter
cg01015395,ODZ2,body,ODZ2__body
cg01015416,PTPN12,promoter,PTPN12__promoter
cg01015507,LOC84740,body,LOC84740__body
cg01015652,ESR2,promoter,ESR2__promoter
cg01015663,TCEA3,body,TCEA3__body
cg01015871,MT4,body,MT4__body
cg01015879,RDX,promoter,RDX__promoter
cg01015899,PXN,promoter,PXN__promoter
cg01016030,CASZ1,body,CASZ1__body
cg01016090,RBBP9,promoter,RBBP9__promoter
cg01016119,ARHGEF3,body,ARHGEF3__body
cg01016169,LETMD1,promoter,LETMD1__promoter
cg01016459,RBL2,body,RBL2__body
cg01016521,FAM63A,promoter,FAM63A__promoter
cg01016592,ZNF689,body,ZNF689__body
cg01016637,SLC2A13,promoter,SLC2A13__promoter
cg01016660,KIAA1543,promoter,KIAA1543__promoter
cg01016694,KIAA1804,promoter,KIAA1804__promoter
cg01016800,CCNJ,promoter,CCNJ__promoter
cg01016847,MRPL52,body,MRPL52__body
cg01016851,PDE4DIP,body,PDE4DIP__body
cg01016962,NETO2,body,NETO2__body
cg01017228,PCGF3,body,PCGF3__body
cg01017257,KIAA1026,body,KIAA1026__body
cg01017689,SNORA47,promoter,SNORA47__promoter
cg01017773,ZNF772,body,ZNF772__body
cg01017780,TMCO3,body,TMCO3__body
cg01017895,RBCK1,promoter,RBCK1__promoter
cg01018002,SNHG3-RCC1,promoter,SNHG3-RCC1__promoter
cg01018128,CIR1,body,CIR1__body
cg01018286,ZNF516,body,ZNF516__body
cg01018437,AQP2,body,AQP2__body
cg01018726,KEAP1,body,KEAP1__body
cg01019113,TTC15,body,TTC15__body
cg01019163,ANO10,promoter,ANO10__promoter
cg01019188,DGKB,body,DGKB__body
cg01019333,SCRN1,promoter,SCRN1__promoter
cg01019355,USP12,body,USP12__body
cg01019362,C1orf163,promoter,C1orf163__promoter
cg01019746,MSI2,promoter,MSI2__promoter
cg01019770,RTN4RL1,promoter,RTN4RL1__promoter
cg01019874,RGMA,body,RGMA__body
cg01019875,SLC16A11,body,SLC16A11__body
cg01019876,RNASE4,promoter,RNASE4__promoter
cg01019985,OR2G2,promoter,OR2G2__promoter
cg01020035,DIP2C,body,DIP2C__body
cg01020079,TMPRSS12,promoter,TMPRSS12__promoter
cg01020263,NOD2,body,NOD2__body
cg01020399,ZNF692,promoter,ZNF692__promoter
cg01020421,BAI1,body,BAI1__body
cg01020427,IMMT,body,IMMT__body
cg01020694,NISCH,body,NISCH__body
cg01020801,SLCO4A1,body,SLCO4A1__body
cg01020978,MECOM,body,MECOM__body
cg01020980,CHPT1,promoter,CHPT1__promoter
cg01020987,C1orf174,promoter,C1orf174__promoter
cg01021045,SIX5,promoter,SIX5__promoter
cg01021224,AGXT2,promoter,AGXT2__promoter
cg01021385,SCAP,promoter,SCAP__promoter
cg01021423,SHISA5,promoter,SHISA5__promoter
cg01021487,FAM184A,body,FAM184A__body
cg01021488,IGF1R,body,IGF1R__body
cg01021547,SDK1,body,SDK1__body
cg01021552,CDH11,promoter,CDH11__promoter
cg01021724,CAMK2D,promoter,CAMK2D__promoter
cg01021742,HRNBP3,body,HRNBP3__body
cg01021847,CCDC88C,body,CCDC88C__body
cg01021952,SGK2,promoter,SGK2__promoter
cg01021975,TTLL12,body,TTLL12__body
cg01022121,PLCH2,body,PLCH2__body
cg01022171,TP53BP2,promoter,TP53BP2__promoter
cg01022200,KIAA1614,promoter,KIAA1614__promoter
cg01022219,C18orf1,body,C18orf1__body
cg01022228,UQCRQ,promoter,UQCRQ__promoter
cg01022345,MIR770,promoter,MIR770__promoter
cg01022370,MFHAS1,promoter,MFHAS1__promoter
cg01022667,FRMD5,body,FRMD5__body
cg01022670,DIP2C,body,DIP2C__body
cg01022678,ITGA1,promoter,ITGA1__promoter
cg01022859,MRC2,body,MRC2__body
cg01022879,CCDC99,promoter,CCDC99__promoter
cg01022916,MATN1,promoter,MATN1__promoter
cg01022939,PRR23C,promoter,PRR23C__promoter
cg01022951,MAPKSP1,promoter,MAPKSP1__promoter
cg01022974,TRIM2,promoter,TRIM2__promoter
cg01023053,LMO4,promoter,LMO4__promoter
cg01023151,PPP1R10,body,PPP1R10__body
cg01023203,SOX2OT,promoter,SOX2OT__promoter
cg01023668,HIPK1,promoter,HIPK1__promoter
cg01023703,BAIAP3,body,BAIAP3__body
cg01023734,UPK1A,promoter,UPK1A__promoter
cg01023751,LRFN3,promoter,LRFN3__promoter
cg01023759,MC1R,promoter,MC1R__promoter
cg01023769,ARL13B,promoter,ARL13B__promoter
cg01023778,RPL10A,promoter,RPL10A__promoter
cg01023787,SLC6A18,body,SLC6A18__body
cg01023798,SDK1,body,SDK1__body
cg01023808,TECPR1,body,TECPR1__body
cg01024009,PLSCR4,promoter,PLSCR4__promoter
cg01024055,TPM1,body,TPM1__body
cg01024069,KLC1,body,KLC1__body
cg01024113,TLE3,promoter,TLE3__promoter
cg01024141,psiTPTE22,body,psiTPTE22__body
cg01024168,MIR196B,promoter,MIR196B__promoter
cg01024247,MIR589,promoter,MIR589__promoter
cg01024444,HAS1,body,HAS1__body
cg01024458,RERE,body,RERE__body
cg01024473,CCDC28B,promoter,CCDC28B__promoter
cg01024618,ZNF474,promoter,ZNF474__promoter
cg01024792,UBD,body,UBD__body
cg01024962,STRN3,body,STRN3__body
cg01025283,FAIM,promoter,FAIM__promoter
cg01025398,PROK2,body,PROK2__body
cg01025434,SYNPO,promoter,SYNPO__promoter
cg01025604,MDGA1,body,MDGA1__body
cg01025720,ATP11A,body,ATP11A__body
cg01025762,DLD,promoter,DLD__promoter
cg01025836,C20orf95,promoter,C20orf95__promoter
cg01025842,TRADD,promoter,TRADD__promoter
cg01025883,PRKCB,body,PRKCB__body
cg01025891,TAF6,promoter,TAF6__promoter
cg01025894,HCG18,body,HCG18__body
cg01026196,FIBCD1,body,FIBCD1__body
cg01026256,VWA5B2,promoter,VWA5B2__promoter
cg01026270,FAM189A1,promoter,FAM189A1__promoter
cg01026300,CBFA2T3,body,CBFA2T3__body
cg01026661,FAM173B,body,FAM173B__body
cg01026744,NAP1L5,promoter,NAP1L5__promoter
cg01026796,DHX29,promoter,DHX29__promoter
cg01027365,HIBCH,promoter,HIBCH__promoter
cg01027405,IL7R,body,IL7R__body
cg01027411,ZNF296,promoter,ZNF296__promoter
cg01027422,AKT1S1,promoter,AKT1S1__promoter
cg01027498,WDR41,promoter,WDR41__promoter
cg01027532,HOXA3,promoter,HOXA3__promoter
cg01027553,SDK1,body,SDK1__body
cg01027728,LOC255167,promoter,LOC255167__promoter
cg01027739,DOLPP1,promoter,DOLPP1__promoter
cg01027750,POU2F2,promoter,POU2F2__promoter
cg01027805,ZNF219,promoter,ZNF219__promoter
cg01027929,HNRNPA2B1,promoter,HNRNPA2B1__promoter
cg01027937,RASSF6,promoter,RASSF6__promoter
cg01028140,TPO,body,TPO__body
cg01028142,CMPK2,body,CMPK2__body
cg01028223,C7orf20,promoter,C7orf20__promoter
cg01028287,CAMK2B,body,CAMK2B__body
cg01028360,C8orf79,promoter,C8orf79__promoter
cg01028364,RAB27A,promoter,RAB27A__promoter
cg01028379,FOXK1,body,FOXK1__body
cg01028522,ARHGAP25,body,ARHGAP25__body
cg01028657,PML,body,PML__body
cg01028796,BICD2,body,BICD2__body
cg01028869,PIK3R3,promoter,PIK3R3__promoter
cg01028925,MAD1L1,body,MAD1L1__body
cg01029238,UBE2Q2,promoter,UBE2Q2__promoter
cg01029247,VGLL4,body,VGLL4__body
cg01029302,C18orf45,promoter,C18orf45__promoter
cg01029347,ZDHHC22,promoter,ZDHHC22__promoter
cg01029450,ARFGAP3,promoter,ARFGAP3__promoter
cg01029590,FDFT1,body,FDFT1__body
cg01029592,SOX15,promoter,SOX15__promoter
cg01029623,KDM2B,body,KDM2B__body
cg01029638,C7orf58,promoter,C7orf58__promoter
cg01029669,PNMAL2,promoter,PNMAL2__promoter
cg01029676,PDIA5,promoter,PDIA5__promoter
cg01029685,PCDHA6,promoter,PCDHA6__promoter
cg01029838,PHTF2,promoter,PHTF2__promoter
cg01029867,ZNF251,promoter,ZNF251__promoter
cg01029901,ZNF772,promoter,ZNF772__promoter
cg01029926,NAT2,promoter,NAT2__promoter
cg01029985,SERTAD1,promoter,SERTAD1__promoter
cg01030121,LOC283392,promoter,LOC283392__promoter
cg01030173,NAA25,promoter,NAA25__promoter
cg01030178,TRIM55,promoter,TRIM55__promoter
cg01030213,RASGEF1C,body,RASGEF1C__body
cg01030321,ACTN4,body,ACTN4__body
cg01030534,FAM115A,promoter,FAM115A__promoter
cg01030757,NPTN,body,NPTN__body
cg01030886,MSRB3,body,MSRB3__body
cg01031032,CD200,promoter,CD200__promoter
cg01031101,NKAPL,promoter,NKAPL__promoter
cg01031146,POLR2H,promoter,POLR2H__promoter
cg01031177,CCDC61,promoter,CCDC61__promoter
cg01031269,SBK2,body,SBK2__body
cg01031271,TRRAP,body,TRRAP__body
cg01031319,RPS6KL1,body,RPS6KL1__body
cg01031400,TNFRSF10D,promoter,TNFRSF10D__promoter
cg01031441,C12orf56,promoter,C12orf56__promoter
cg01031983,KLF15,body,KLF15__body
